timestamp_pc,ax,ay,az,gx,gy,gz,piezo,t_ms_bat,label
2025-12-12T09:32:37.397000,0.184,0.113,9.647,-0.463,-2.231,2.046,0.025,1765531957397,none
2025-12-12T09:32:37.447000,0.070,0.118,9.778,-2.222,-2.316,-4.197,0.172,1765531957447,none
2025-12-12T09:32:37.497000,-0.485,0.200,8.142,4.978,-8.031,-1.817,0.041,1765531957497,serve
2025-12-12T09:32:37.547000,-0.142,-0.026,9.777,0.676,4.807,-4.975,0.050,1765531957547,none
2025-12-12T09:32:37.597000,-0.108,0.032,9.611,-3.607,0.888,3.630,0.066,1765531957597,none
2025-12-12T09:32:37.647000,-1.089,-5.896,15.787,-45.765,-61.531,36.178,1.261,1765531957647,strike
2025-12-12T09:32:37.697000,0.028,0.167,9.871,3.755,-3.048,1.644,0.027,1765531957697,none
2025-12-12T09:32:37.747000,0.006,-0.076,9.804,-2.388,2.724,0.003,0.092,1765531957747,none
2025-12-12T09:32:37.797000,0.135,0.191,9.659,3.722,-1.681,0.810,0.077,1765531957797,none
2025-12-12T09:32:37.847000,-0.058,0.067,9.731,2.063,-1.577,0.103,0.038,1765531957847,none
2025-12-12T09:32:37.897000,0.082,0.161,9.898,-0.038,-2.652,0.580,0.088,1765531957897,none
2025-12-12T09:32:37.947000,0.073,0.189,9.632,0.665,2.048,4.807,0.079,1765531957947,none
2025-12-12T09:32:37.997000,-0.132,0.180,9.660,0.487,-2.829,-3.635,0.138,1765531957997,none
2025-12-12T09:32:38.047000,-0.098,0.051,9.677,3.532,-4.078,-1.487,0.096,1765531958047,none
2025-12-12T09:32:38.097000,0.101,-0.100,9.667,-3.864,1.439,-1.497,0.137,1765531958097,none
2025-12-12T09:32:38.147000,-0.842,0.590,8.596,8.138,9.329,4.177,0.137,1765531958147,serve
2025-12-12T09:32:38.197000,4.547,2.965,13.849,-92.440,64.694,-13.129,0.969,1765531958197,strike
2025-12-12T09:32:38.247000,0.158,-0.173,9.686,-1.622,4.027,-2.447,0.039,1765531958247,none
2025-12-12T09:32:38.297000,0.067,0.154,9.744,-4.184,0.698,1.405,0.011,1765531958297,none
2025-12-12T09:32:38.347000,0.146,0.093,9.823,4.266,4.075,4.463,0.139,1765531958347,none
2025-12-12T09:32:38.397000,-0.197,-0.112,9.740,-0.377,-2.567,0.012,0.157,1765531958397,none
2025-12-12T09:32:38.447000,1.665,-1.225,7.982,25.328,-64.359,-56.366,0.267,1765531958447,miss
2025-12-12T09:32:38.497000,-0.097,0.099,9.761,4.020,-2.843,-1.794,0.094,1765531958497,none
2025-12-12T09:32:38.547000,-0.121,-0.147,9.646,-2.757,-0.400,-2.310,0.142,1765531958547,none
2025-12-12T09:32:38.597000,2.488,-2.711,9.800,-2.187,-62.828,-15.826,0.321,1765531958597,miss
2025-12-12T09:32:38.647000,-2.236,-2.108,10.888,-38.851,-49.541,47.945,0.019,1765531958647,miss
2025-12-12T09:32:38.697000,0.170,0.153,9.720,3.722,2.097,1.174,0.159,1765531958697,none
2025-12-12T09:32:38.747000,0.145,-0.116,9.696,-4.587,-3.152,1.507,0.140,1765531958747,none
2025-12-12T09:32:38.797000,-0.140,0.197,9.743,4.553,-0.822,4.974,0.025,1765531958797,none
2025-12-12T09:32:38.847000,-0.152,0.014,9.731,-0.346,-2.238,-1.588,0.063,1765531958847,none
2025-12-12T09:32:38.897000,-0.067,-0.077,9.632,2.588,-4.967,-2.438,0.188,1765531958897,none
2025-12-12T09:32:38.947000,-0.009,-0.009,9.617,-2.546,-2.858,3.710,0.118,1765531958947,none
2025-12-12T09:32:38.997000,-0.036,-0.195,9.614,1.137,4.035,-2.461,0.126,1765531958997,none
2025-12-12T09:32:39.047000,-0.086,-0.026,9.677,-3.503,-2.781,-4.300,0.124,1765531959047,none
2025-12-12T09:32:39.097000,-0.016,-0.095,9.856,-4.738,4.433,3.657,0.138,1765531959097,none
2025-12-12T09:32:39.147000,-3.517,0.003,4.357,69.683,-7.341,51.864,1.422,1765531959147,strike
2025-12-12T09:32:39.197000,-0.061,-0.028,9.726,2.903,2.165,1.699,0.161,1765531959197,none
2025-12-12T09:32:39.247000,1.482,-0.777,12.842,-67.611,-41.281,-70.274,1.087,1765531959247,strike
2025-12-12T09:32:39.297000,0.146,-0.014,9.862,0.982,-1.816,2.459,0.008,1765531959297,none
2025-12-12T09:32:39.347000,-2.338,-0.217,6.349,71.475,71.010,75.401,0.138,1765531959347,miss
2025-12-12T09:32:39.397000,-0.067,-0.091,9.764,-3.481,-4.295,-4.042,0.154,1765531959397,none
2025-12-12T09:32:39.447000,0.065,-0.087,9.866,4.198,2.692,-1.533,0.128,1765531959447,none
2025-12-12T09:32:39.497000,-0.168,-0.017,9.759,0.240,-0.537,1.257,0.138,1765531959497,none
2025-12-12T09:32:39.547000,0.185,0.188,9.800,2.146,-4.357,0.870,0.160,1765531959547,none
2025-12-12T09:32:39.597000,-0.118,-0.189,9.780,1.015,4.287,-3.899,0.192,1765531959597,none
2025-12-12T09:32:39.647000,-2.499,-1.980,11.967,-52.387,12.439,-41.190,0.121,1765531959647,miss
2025-12-12T09:32:39.697000,4.465,-3.908,8.242,9.897,-90.806,89.292,0.908,1765531959697,strike
2025-12-12T09:32:39.747000,-0.132,-0.029,9.836,1.845,-3.718,0.371,0.160,1765531959747,none
2025-12-12T09:32:39.797000,2.796,1.924,10.419,16.254,-62.816,-71.925,0.003,1765531959797,miss
2025-12-12T09:32:39.847000,-0.076,-0.024,9.626,-3.138,0.733,3.654,0.024,1765531959847,none
